"cartridge_id","cartridge_name","parent_cartridge_id","rim_type_id","cartridge_type_id","bullet_diameter","neck_diameter","shoulder_diameter","base_diameter","rim_diameter","rim_thickness","case_length","overall_length","case_capacity_gr_h2o","pressure_psi","length_to_shoulder","length_to_neck","ql_type_of_cartridge_spec","image_name","Unknown_1","Unknown_2","Unknown_3","Unknown_4","Unknown_5",,
49,".17 hornet",54,2,1,0.172,0.193,0.288,0.299,0.35,0.065,1.4,1.723,13.65,,,,"Piezo CIP","17Horny.jpg",0.5,14.8,370,,,,
50,".17 Remington",62,1,1,0.172,0.199,0.356,0.376,0.378,0.045,1.796,2.15,26.5,52000,,,"Piezo CIP","17REM.jpg",0.45,14.8,425,,,,
51,".17 Remington Fireball",60,1,1,0.172,0.206,0.3673,0.3769,,,1.42,1.8,20.5,,,,"Piezo CIP","17rmfiba.jpg",0.5,14.8,380,,,,
52,".204 Ruger",62,1,1,0.204,0.2311,0.3598,0.3767,0.378,0.0449,1.85,2.26,30.96,,,,"Piezo CIP","204 Ruger.jpg",0.6,20.748,405,,,,
53,".218 bee",121,2,1,0.224,0.242,0.329,0.349,0.408,0.065,1.345,1.68,18,,,,"Piezo CIP","218BEE.jpg",0.6,25.03,320,,,,
54,".22 hornet",,2,1,0.224,0.243,0.276,0.298,0.35,0.065,1.403,1.72,14.5,,,,"Piezo CIP","22HORNET.jpg",0.75,24.53,300,,,,
55,".219 Zipper",96,2,1,0.224,0.253,0.365,0.422,0.506,0.063,1.938,2.26,34,42000,,,"Piezo CIP","219ziper.jpg",0.6,25.03,285,,,,
56,".22 PPC",57,1,1,0.224,0.246,0.431,0.44,0.441,,1.515,2.1,32,,,,"Piezo CIP","22PPCUSA.jpg",0.5,24.83,405,,,,
57,".220 Russian",36,1,1,0.223,0.245,0.431,0.44,0.447,0.059,1.52,1.92,30.1,51000,,,"Piezo CIP","56X39.jpg",0.5,24.19,350,,,,
58,".22-250 Remington",74,1,1,0.224,0.254,0.414,0.469,0.473,,1.912,2.35,43.49,,,,"Piezo SAAMI","22-250.jpg",0.5,25.09,448.16,,,,
59,".220 Swift",202,4,1,0.224,0.26,0.402,0.445,0.473,,2.205,2.68,47,62000,,,"Piezo CIP","220SWIFT.jpg",0.4,25.03,430,,,,
60,".221 Remington Fireball",61,1,1,0.224,0.253,0.361,0.376,0.378,0.045,1.4,1.83,22,,,,"Piezo CIP","221REMFI.JPG",0.6,25.09,320,,,,
61,".222 Remington",,1,1,0.244,0.253,0.357,0.376,0.378,0.045,1.7,2.13,26.9,50000,,,"Piezo CIP","222REM.jpg",0.6,25.09,370,,,,
62,".222 Remington Magnum",61,1,1,0.224,0.253,0.357,0.376,0.378,,1.85,2.28,30.5,50000,,,"Piezo CIP","222REMMa.jpg",0.6,25.09,405,,,,
63,".223 Remington",61,1,1,0.224,0.253,0.354,0.376,0.378,0.045,1.76,2.26,28.8,55000,,,"Piezo CIP","223REM.jpg",0.6,25.03,430,,,,
64,".223 Winchester Super Short Magnum",106,1,1,0.224,0.272,0.544,0.555,0.535,0.054,1.67,2.36,53.7,,,,"Piezo CIP","223wssm.jpg",0.5,25.09,440,,,,
65,".224 Weatherby Magnum",,3,1,0.224,0.252,0.394,0.415,0.43,,1.923,2.33,38,,,,"Piezo CIP","224WEAMA.jpg",0.5,24.93,440,,,,
66,".225 Winchester",55,2,1,0.224,0.26,0.406,0.422,0.473,0.049,1.93,2.5,40,,,,"Piezo CIP","225WIN.jpg",0.6,24.96,390,,,,
67,".243 Winchester",37,1,1,0.243,0.276,0.454,0.471,0.473,,2.045,2.71,52,60000,,,"Piezo CIP","243WIN.jpg",0.65,29.25,415,,,,
68,".243 Winchester Super Short Magnum",106,3,1,0.243,0.291,0.544,0.555,0.535,0.054,1.67,2.36,53.9,,,,"Piezo CIP","243WSSM.jpg",0.5,29.26,440,,,,
69,".25 ACP",,4,2,0.251,0.276,,0.278,0.302,0.043,0.615,0.91,4.9,,,,"Piezo CIP","25AUTO.jpg",0.75,31.14,120,,,,
70,".25 Winchester Super Short Magnum",106,3,1,0.257,0.305,0.544,0.555,0.535,0.054,1.67,2.36,54.3,,,,"Piezo CIP","25WSSM.jpg",0.5,33.02,440,,,,
71,".25 Remington",,1,1,0.2575,0.286,0.396,0.417,0.419,,2.05,2.53,43,,,,"Piezo Wildcat",,0.5,32.78,305,,,,
72,".25-06 Remington",95,1,1,0.257,0.29,0.441,0.47,0.473,0.05,2.494,3.25,65.8,63000,,,"Piezo CIP","25-06REM.jpg",0.55,33.02,450,,,,
73,".25-20 Winchester",121,2,1,0.257,0.274,0.333,0.348,0.408,0.065,1.33,1.592,19,,,,"Piezo CIP","25-20WIN.jpg",0.5,32.58,270,,,,
74,".250-3000 Savage",,1,1,0.257,0.286,0.414,0.469,0.473,,1.912,2.515,45.5,45000,,,"Piezo CIP","250SAVAG.jpg",0.5,32.91,365,,,,
75,".257 Roberts",32,1,1,0.257,0.29,0.43,0.472,0.473,,2.233,2.755,56,,,,"Piezo CIP","257ROBER.jpg",0.5,32.78,355,,,,
76,".257 Weatherby Magnum",148,5,1,0.257,0.283,0.492,0.512,0.5315,0.051,2.545,3.209,84,65000,,,"Piezo CIP","257WEAMA.jpg",0.5,33.07,440,,,,
77,".25-35 Winchester",96,2,1,0.258,0.282,0.365,0.422,0.506,0.063,2.043,2.55,38,44000,,,"Piezo CIP","25-35WIN.jpg",0.5,32.58,305,,,,
78,".25-45 Sharps",63,1,1,0.257,0.284,0.3539,0.376,0.378,0.045,1.76,2.26,31,,,,"Piezo SAAMI","25-45sharps.jpg",0.5,32.968,413.686,,,,
79,".260 Remington",37,1,1,0.264,0.2969,0.4539,0.4705,0.4728,0.0539,2.035,2.8,53.5,60000,,,"Piezo CIP","260rem.jpg",0.5,34.74,415,,,,
80,".26 Nosler",166,3,1,0.2645,0.297,0.5275,0.55,0.534,0.05,2.59,3.34,93.5,65000,,,"Piezo SAAMI","26nosler.jpg",0.5,34.709,448.16,,,,
81,".264 Winchester Magnum",148,5,1,0.264,0.299,0.491,0.515,0.532,,2.5,3.34,82,64000,,,"Piezo CIP","264WINMA.jpg",0.5,34.66,430,,,,
82,".270 Winchester",94,1,1,0.277,0.308,0.441,0.47,0.473,,2.54,3.34,67,65000,,,"Piezo SAAMI","270WIN.jpg",0.5,38.52,448.16,,,,
83,".270 Winchester Short Magnum",106,3,1,0.277,0.314,0.538,0.555,0.535,0.054,2.1,2.86,79.5,65000,,,"Piezo CIP","270WSM.jpg",0.5,38.452,440,,,,
84,".275 H&H Magnum",,5,1,0.287,0.325,,0.513,0.532,,2.5,3.42,76,,,,"Piezo CIP","275bne.jpg",0.5,40.39,415,,,,
85,".280 Jeffery",125,1,1,0.288,0.317,0.504,0.542,0.538,,2.5,3.45,,,,,,,,,,,,,
86,".280 Remington",94,1,1,0.284,0.315,0.441,0.47,0.473,,2.54,3.33,67.9,60000,,,"Piezo CIP","280REM.jpg",0.5,40.39,405,,,,
87,".280 Ross",,4,1,0.287,0.317,0.404,0.534,0.556,,2.59,3.5,76,47200,,,,,,,,,,,
88,".28 Nosler",166,3,1,0.284,0.32,0.528,0.55,0.543,,2.59,3.34,93.8,65000,,,,,,,,,,,
89,".284 Winchester",,1,1,0.284,0.32,0.475,0.501,0.473,0.04,2.17,2.8,66.2,64000,,,"Piezo CIP","284WIN.jpg",0.5,40.12,440,,,,
90,".30 carbine",203,1,3,0.308,0.331,,0.354,0.36,0.05,1.29,1.65,21,38500,,,"Piezo CIP","30CARBIN.jpg",0.75,47.4,320,,,,
91,".30 Nosler",166,3,1,0.308,0.344,0.528,0.55,0.534,,2.556,3.34,89.8,65000,,,,,,,,,,,
92,".30 Remington AR",184,1,1,0.308,,,0.5,0.492,0.054,2.53,2.26,44,55000,,,"Piezo SAAMI","30RAR.jpg",0.5,47.51,379.212,,,,
93,".30 Remington",,1,1,0.308,,,0.421,0.422,0.045,2.06,2.525,45.8,38000,,,"Piezo CIP","30REM.jpg",0.5,47.06,280,,,,
94,".30-03",204,1,1,0.308,0.34,0.441,0.47,0.473,0.045,2.54,3.34,,,,,,,,,,,,,
95,".30-06 Springfield",94,1,1,0.308,0.34,0.441,0.471,0.473,0.049,2.494,3.34,68,60200,,,"Piezo SAAMI","30-06Spr.jpg",0.55,47.52,413.686,,,,
96,".30-30 Winchester",,2,1,0.308,0.33,0.401,0.422,0.506,0.063,2.039,2.55,44,42000,,,"Piezo SAAMI","30-30WIN.jpg",0.75,47.032,289.58,,,,
97,".30-40 Krag",,2,1,0.308,0.338,0.423,0.457,0.545,0.064,2.314,3.089,58,47000,,,"Piezo CIP","3040krag.jpg",0.5,47.06,325,,,,
98,".300 AAC Blackout",63,1,1,0.308,0.334,0.36,0.376,0.378,0.045,1.368,2.26,25.1,55000,,,"Piezo SAAMI","300AACBL.jpg",0.6,47.55,379.212,,,,
99,".300 H&H Magnum",148,5,1,0.309,0.338,0.45,0.513,0.532,,2.85,3.6,,,,,,,,,,,,,
100,".300 Remington Short Action Ultra Magnum",101,3,1,0.308,0.344,0.534,0.55,0.534,,2.015,2.825,74,,,,"Piezo SAAMI","300RSAUM.jpg",0.5,47.291,448.16,,,,
101,".300 Remington Ultra Magnum",166,3,1,0.308,0.344,0.525,0.55,0.534,,2.85,3.6,110.2,65000,,,"Piezo CIP","300RUM.JPG",0.7,47.419,448,,,,
102,".300 Ruger Compact Magnum",149,1,1,0.308,0.34,0.515,0.532,0.532,0.05,2.1,2.825,75,,,,"Piezo CIP","300rcm.jpg",0.5,47.32,440,,,,
103,".300 Savage",74,1,1,0.308,0.339,0.446,0.471,0.473,,1.871,2.6,52.5,,,,"Piezo CIP","300SAVAG.jpg",0.5,47.1,365,,,,
104,".300 Weatherby Magnum",99,5,1,0.308,0.336,0.492,0.512,0.531,,2.825,3.562,98.9,65000,,,"Piezo CIP","300WEAMA.jpg",0.5,47.48,440,,,,
